"","x"
"306","H6 "
"307","L-metal"
"308","Relict OC"
"309","EH"
"310","Mesosiderite-A4"
"311","L/LL5/6"
"312","H3.8-4"
"313","CBb"
"314","EL6/7"
"315","EL7"
"316","CH/CBb"
"317","CO3.8"
"318","H/L~4"
"319","Mesosiderite-C2"
"320","R5"
"321","H4/6"
"322","L-melt rock"
"323","H3.7-5"
"324","LL3.7-6"
"325","H3.7/3.8"
"326","L3.7/3.8"
"327","EH-imp melt"
"328","R"
"329","Aubrite-an"
"330","L3.5-3.9"
"331","L3.2-3.5"
"332","L3.3-3.5"
"333","L3.0-3.7"
"334","E3-an"
"335","K"
"336","E3"
"337","CK4-an"
"338","Fusion crust"
"339","L(LL)3.05"
"340","L3.10"
"341","Pallasite, ungrouped"
"342","L/LL4/5"
"343","L3.8-an"
"344","Iron, IAB-an"
"345","C5/6-ung"
"346","CV2"
"347","Iron, IC-an"
"348","Lunar (bas. breccia)"
"349","L3.8-6"
"350","Diogenite-olivine"
"351","Lunar (norite)"
"352","H3.0-3.4"
"353","L/LL4-6"
"354","EH7"
"355","L4-an"
"356","E-an"
"357","LL3-5"
"358","H3.8/3.9"
"359","L3.9-5"
"360","H3.8-6"
"361","H3.4-5"
"362","L3.0-3.9"
"363","L3.5-3.8"
"364","H3.2-3.7"
"365","L3.6-4"
"366","H3.10"
"367","L/LL3.6/3.7"
"368","H/L4-5"
"369","LL~5"
"370","Enst achon-ung"
"371","LL~3"
"372","Pallasite?"
"373","LL5-7"
"374","LL3.9/4"
"375","H3.8-an"
"376","CR-an"
"377","L/LL5-6"
"378","L(LL)5"
"379","L(LL)6"
"380","LL3.1-3.5"
"381","LL3.1"
"382","E5"
"383","Lodranite-an"
"384","H3.2-6"
"385","H(?)4"
"386","E5-an"
"387","H3.2-an"
"388","EH6-an"
"389","Stone-ung"
"390","R3.9"
"391","C1/2-ung"
"392","EH6"
"393","L/LL"
"394","Mesosiderite-C"
