"","class","avg_mass","Fell","Found","total_row","pct_of_all"
"146","H3.8-6",74,0,1,1,0.003
"147","H3.8-an",6448,0,2,2,0.006
"148","H3.8/3.9",9098,0,1,1,0.003
"149","H3.8/4",6079,0,2,2,0.006
"150","H3.9",6069,0,36,36,0.112
"151","H3.9-5",3088,0,2,2,0.006
"152","H3.9-6",6368,0,4,4,0.012
"153","H3.9/4",7227,0,4,4,0.012
"154","H3/4",5783,2,28,30,0.094
"155","H4",5556,50,3274,3324,10.375
"156","H4 ",4962,0,11,11,0.034
"157","H4-5",5097,2,42,44,0.137
"158","H4-6",5996,2,51,53,0.165
"159","H4-an",6863,1,8,9,0.028
"160","H4(?)",44,0,1,1,0.003
"161","H4/5",5930,6,374,380,1.186
"162","H4/6",6898,0,6,6,0.019
"163","H5",5904,162,5428,5590,17.448
"164","H5 ",4143,0,21,21,0.066
"165","H5-6",6268,3,52,55,0.172
"166","H5-7",6333,1,0,1,0.003
"167","H5-an",3455,0,1,1,0.003
"168","H5-melt breccia",1025,0,2,2,0.006
"169","H5/6",6290,1,155,156,0.487
"170","H6",5822,91,3140,3231,10.085
"171","H6 ",6393,0,1,1,0.003
"172","H6-melt breccia",7592,0,2,2,0.006
"173","H7",4578,0,7,7,0.022
"174","Howardite",5879,16,111,127,0.396
"175","Iron",5208,7,74,81,0.253
"176","Iron, IAB complex",5568,1,40,41,0.128
"177","Iron, IAB-an",6255,0,3,3,0.009
"178","Iron, IAB-MG",5624,1,72,73,0.228
"179","Iron, IAB-sHH",5873,0,5,5,0.016
"180","Iron, IAB-sHL",3920,3,6,9,0.028
"181","Iron, IAB-sLH",5700,0,6,6,0.019
"182","Iron, IAB-sLL",4542,2,20,22,0.069
"183","Iron, IAB-sLM",4995,0,8,8,0.025
"184","Iron, IAB-ung",6309,3,38,41,0.128
"185","Iron, IAB?",4171,0,4,4,0.012
"186","Iron, IC",7734,0,9,9,0.028
"187","Iron, IC-an",6745,0,2,2,0.006
"188","Iron, IIAB",5554,6,102,108,0.337
"189","Iron, IIAB-an",9753,0,1,1,0.003
"190","Iron, IIC",6607,0,7,7,0.022
"191","Iron, IID",6854,3,16,19,0.059
"192","Iron, IID-an",3457,0,1,1,0.003
"193","Iron, IIE",6990,1,9,10,0.031
"194","Iron, IIE-an",7350,1,6,7,0.022
